arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
great_tables/_pipe.py,1,1.0,1,1,A,,pipe,14
great_tables/_stub.py,1,1.0,1,1,A,,reorder_stub_df,6
great_tables/_stubhead.py,1,1.0,1,1,A,,tab_stubhead,11
great_tables/quarto.py,1,1.0,1,1,A,,is_quarto_render,4
great_tables/_source_notes.py,1,1.0,1,1,A,,tab_source_note,11
great_tables/_heading.py,1,1.0,1,1,A,,tab_header,12
great_tables/_body.py,1,1.0,1,1,A,,body_reassemble,11
great_tables/_formats_vals.py,20,1.25,3,25,A,,_make_one_col_table,62
great_tables/_locale.py,7,1.29,3,9,A,Locale,__init__,19
great_tables/shiny.py,5,1.4,3,7,A,,GtTransformer,38
great_tables/_utils_selenium.py,10,1.7,6,17,B,,_get_web_driver,78
great_tables/_text.py,16,1.75,6,28,B,,_process_text,82
great_tables/_tbl_data.py,88,1.84,12,162,C,,_,405
great_tables/_utils.py,30,2.03,8,61,B,,_match_arg,39
great_tables/data/__init__.py,6,2.17,4,13,A,_BackendNamespace,__getattr__,1434
great_tables/_gt_data.py,122,2.33,9,284,B,Boxhead,align_from_data,535
great_tables/_styles.py,37,2.43,12,90,C,CellStyleText,_to_html_style,440
great_tables/_databackend.py,4,2.5,4,10,A,AbstractBackend,__subclasshook__,40
great_tables/_helpers.py,44,2.61,27,115,D,,nanoplot_options,1163
great_tables/__init__.py,1,3.0,3,3,A,,__getattr__,49
great_tables/_tbl_data_align.py,5,3.0,3,15,A,,is_number_like_column,49
great_tables/_export.py,10,3.1,6,31,B,,save,364
great_tables/_data_color/palettes.py,11,3.18,12,35,C,GradientPalette,__init__,93
great_tables/_substitution.py,15,3.47,9,52,B,SubSmallVals,to_html,487
great_tables/_data_color/base.py,25,3.64,11,91,C,,_rescale_numeric,652
great_tables/_modify_rows.py,10,3.7,11,37,C,,summary_rows,197
great_tables/_render.py,2,4.0,7,8,B,,infer_render_env,16
great_tables/gt.py,11,4.09,14,45,C,,_apply_text_transforms_stub,145
great_tables/_tab_create_modify.py,9,4.11,11,37,C,,tab_style,15
great_tables/_formats.py,145,4.24,21,615,D,,_format_duration_colon_sep,3107
great_tables/_utils_render_latex.py,24,4.33,16,104,C,,create_columns_component_l,341
great_tables/_cols_merge.py,14,4.71,10,66,B,,_merge_uncert,395
great_tables/_render_checks.py,2,5.0,8,10,B,,_render_check_quarto,16
great_tables/_footnotes.py,1,5.0,5,5,A,,tab_footnote,13
great_tables/_options.py,15,5.07,15,76,C,,opt_all_caps,933
great_tables/_locations.py,26,5.35,23,139,D,,resolve_rows_i,1029
great_tables/_boxhead.py,4,5.5,8,22,B,,cols_label,15
great_tables/_utils_nanoplots.py,53,5.81,30,308,D,,_prepare_nanoplot_state,779
great_tables/_spanners.py,22,6.5,23,143,D,,spanners_print_matrix,827
great_tables/_scss.py,3,8.33,17,25,C,,compile_scss,87
great_tables/_utils_render_html.py,40,9.95,34,398,E,,_create_columns_component_h_with_spanners,341
great_tables/utils_render_common.py,1,10.0,10,10,B,,get_row_reorder_df,14
