arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_pipe.py,funcao,pipe,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_stub.py,funcao,reorder_stub_df,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_prep_gt,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_split_replacements,2,7,6,12,9,18,21.6515,57.0587,1.7143,97.8148,5.4342,0.019
great_tables/_gt_data.py,funcao,_replace,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_tbl_data,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_body,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_boxhead,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_stub,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_spanners,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_heading,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_stubhead,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_summary_rows,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_summary_rows_grand,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_source_notes,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_footnotes,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_styles,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_locale,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_formats,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_substitutions,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_gt_data.py,funcao,_col_merge,0,0,0,0,0,0,0,0,0,0,0,0
