arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
great_tables/_row_groups.py,0,0,0,0,0,0,0
great_tables/_data_color/__init__.py,3,2,2,0,0,1,0
great_tables/quarto.py,13,4,3,0,6,4,0
great_tables/_stub.py,25,5,4,5,8,8,5
great_tables/_types.py,8,5,5,0,0,3,0
great_tables/_stubhead.py,68,8,7,0,45,16,0
great_tables/_source_notes.py,54,8,7,0,34,13,0
great_tables/_body.py,14,7,7,2,0,5,2
great_tables/style.py,10,3,8,0,0,2,0
great_tables/_pipe.py,103,9,10,0,70,23,0
great_tables/_heading.py,87,9,13,0,58,16,0
great_tables/vals.py,20,2,17,1,0,2,1
great_tables/_render_checks.py,43,17,21,2,8,11,3
great_tables/utils_render_common.py,54,21,21,17,0,16,17
great_tables/_footnotes.py,159,28,32,11,99,21,7
great_tables/_databackend.py,52,38,35,3,0,13,4
great_tables/_render.py,44,27,35,1,0,8,1
great_tables/shiny.py,61,33,42,0,0,17,2
great_tables/__init__.py,63,16,46,5,0,12,5
great_tables/_tbl_data_align.py,122,56,64,15,15,28,15
great_tables/_utils_selenium.py,90,58,66,1,0,23,1
great_tables/_text.py,151,79,72,5,19,51,9
great_tables/loc.py,86,19,84,13,0,2,0
great_tables/_boxhead.py,417,74,85,14,226,92,14
great_tables/_tab_create_modify.py,493,78,97,8,300,89,7
great_tables/_data_color/palettes.py,182,107,100,5,21,51,10
great_tables/_scss.py,193,82,123,26,3,40,27
great_tables/_locale.py,160,215,124,2,0,34,2
great_tables/_utils.py,287,155,151,26,26,85,25
great_tables/_modify_rows.py,655,100,158,21,350,125,22
great_tables/_substitution.py,589,156,169,21,287,113,20
great_tables/_cols_merge.py,482,195,196,18,160,104,22
great_tables/_export.py,755,163,245,44,312,153,45
great_tables/_data_color/base.py,746,222,272,66,230,179,65
great_tables/_styles.py,634,288,336,16,164,117,17
great_tables/gt.py,634,270,388,45,94,104,48
great_tables/_formats_vals.py,1527,156,428,13,884,202,13
great_tables/_spanners.py,1739,339,431,75,897,336,75
great_tables/_utils_render_latex.py,844,323,446,95,79,223,96
great_tables/_locations.py,1576,461,520,103,643,300,113
great_tables/_tbl_data.py,970,534,566,47,25,318,61
great_tables/_helpers.py,1419,277,571,56,533,259,56
great_tables/_options.py,2192,186,1019,68,910,210,53
great_tables/_gt_data.py,1699,1156,1092,165,69,371,167
great_tables/_utils_nanoplots.py,1513,756,1101,46,105,261,46
great_tables/_data_color/constants.py,1172,9,1153,11,0,8,11
great_tables/_utils_render_html.py,1768,688,1259,197,21,315,173
great_tables/data/__init__.py,1453,140,1279,24,4,162,8
great_tables/_formats.py,6877,1719,2867,359,2444,1204,362
TOTAL,32306,9303,15777,1652,9149,5750,1630
