arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
great_tables/_pipe.py,function,,pipe,A,1,14,103
great_tables/_stub.py,function,,reorder_stub_df,A,1,6,25
great_tables/_gt_data.py,function,,_prep_gt,A,1,60,72
great_tables/_gt_data.py,method,_Sequence,__init__,A,1,153,154
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,157,157
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,160,160
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,163,163
great_tables/_gt_data.py,method,_Sequence,__len__,A,1,173,174
great_tables/_gt_data.py,method,_Sequence,__repr__,A,1,176,177
great_tables/_gt_data.py,method,Body,__init__,A,1,193,194
great_tables/_gt_data.py,method,Body,copy,A,1,217,218
great_tables/_gt_data.py,method,Body,from_empty,A,1,221,224
great_tables/_gt_data.py,method,ColInfo,replace_column_label,A,1,262,263
great_tables/_gt_data.py,method,ColInfo,visible,A,1,266,267
great_tables/_gt_data.py,method,ColInfo,is_stub,A,1,270,274
great_tables/_gt_data.py,method,Boxhead,__init__,A,1,318,325
great_tables/_gt_data.py,method,Boxhead,__getnewargs__,A,1,327,328
great_tables/_gt_data.py,method,Boxhead,set_cols_hidden,A,1,365,366
great_tables/_gt_data.py,method,Boxhead,set_cols_unhidden,A,1,368,369
great_tables/_gt_data.py,method,Boxhead,_get_number_of_visible_data_columns,A,1,501,502
great_tables/_gt_data.py,method,Boxhead,_get_effective_number_of_columns,A,1,506,517
great_tables/_gt_data.py,method,Stub,__init__,A,1,572,574
great_tables/_gt_data.py,method,Stub,_set_cols,A,1,606,617
great_tables/_gt_data.py,method,Stub,order_groups,A,1,628,630
great_tables/_gt_data.py,method,Stub,group_indices_map,A,1,675,676
great_tables/_gt_data.py,method,Stub,__iter__,A,1,678,679
great_tables/_gt_data.py,method,Stub,__len__,A,1,681,682
great_tables/_gt_data.py,method,Stub,__getitem__,A,1,684,685
great_tables/_gt_data.py,method,GroupRowInfo,with_group_label,A,1,766,768
great_tables/_gt_data.py,method,Spanners,append_entry,A,1,883,884
great_tables/_gt_data.py,method,Locale,__init__,A,1,950,951
great_tables/_gt_data.py,method,CellSubset,resolve,A,1,977,978
great_tables/_gt_data.py,method,CellRectangle,__init__,A,1,985,987
great_tables/_gt_data.py,method,CellRectangle,resolve,A,1,989,990
great_tables/_gt_data.py,method,FormatInfo,__init__,A,1,1002,1004
great_tables/_gt_data.py,method,SummaryRows,__bool__,A,1,1077,1079
great_tables/_gt_data.py,method,SummaryRows,__iter__,A,1,1177,1178
great_tables/_gt_data.py,method,SummaryRows,__len__,A,1,1180,1181
great_tables/_gt_data.py,method,Options,__getitem__,A,1,1478,1479
great_tables/_gt_data.py,method,Options,_set_option_value,A,1,1487,1492
great_tables/_stubhead.py,function,,tab_stubhead,A,1,11,68
great_tables/_options.py,function,,opt_row_striping,A,1,635,682
great_tables/_options.py,function,,opt_align_table_header,A,1,685,735
great_tables/_options.py,function,,opt_table_outline,A,1,1106,1184
great_tables/_formats_vals.py,function,,expressive,A,1,29,50
great_tables/_formats_vals.py,function,,wrapper,A,1,33,33
great_tables/_formats_vals.py,function,,wrapper,A,1,36,36
great_tables/_formats_vals.py,function,,val_fmt_number,A,1,93,220
great_tables/_formats_vals.py,function,,val_fmt_scientific,A,1,327,454
great_tables/_formats_vals.py,function,,val_fmt_engineering,A,1,458,582
great_tables/_formats_vals.py,function,,val_fmt_percent,A,1,586,712
great_tables/_formats_vals.py,function,,val_fmt_partsper,A,1,716,845
great_tables/_formats_vals.py,function,,val_fmt_currency,A,1,849,986
great_tables/_formats_vals.py,function,,val_fmt_roman,A,1,990,1036
great_tables/_formats_vals.py,function,,val_fmt_bytes,A,1,1040,1157
great_tables/_formats_vals.py,function,,val_fmt_duration,A,1,1161,1245
great_tables/_formats_vals.py,function,,val_fmt_date,A,1,1249,1332
great_tables/_formats_vals.py,function,,val_fmt_time,A,1,1336,1407
great_tables/_formats_vals.py,function,,val_fmt_markdown,A,1,1411,1461
great_tables/_formats_vals.py,function,,val_fmt_image,A,1,1465,1527
great_tables/_cols_merge.py,function,,merge_pattern,A,1,234,270
great_tables/_utils_selenium.py,function,,no_op_callable,A,1,71,75
great_tables/_utils_selenium.py,function,,wrapper,A,1,72,73
great_tables/_utils_selenium.py,method,_BaseWebDriver,__init__,A,1,18,22
great_tables/_utils_selenium.py,method,_BaseWebDriver,add_arguments,A,1,24,24
great_tables/_utils_selenium.py,method,_BaseWebDriver,__enter__,A,1,26,27
great_tables/_utils_selenium.py,method,_BaseWebDriver,__exit__,A,1,29,35
great_tables/_utils_selenium.py,method,_EdgeWebDriver,add_arguments,A,1,67,68
great_tables/_substitution.py,function,,sub_missing,A,1,32,95
great_tables/_substitution.py,function,,sub_zero,A,1,98,155
great_tables/_substitution.py,method,SubSmallVals,_format_text,A,1,511,513
great_tables/_databackend.py,method,_AbstractBackendMeta,register_backend,A,1,25,27
great_tables/_styles.py,method,CellStyle,_to_html_style,A,1,92,93
great_tables/_styles.py,method,CellStyleCss,_to_html_style,A,1,169,170
great_tables/_styles.py,method,CellStyleFill,_to_html_style,A,1,334,335
great_tables/quarto.py,function,,is_quarto_render,A,1,4,13
great_tables/_text.py,function,,_md_latex,A,1,76,79
great_tables/_text.py,function,,_process_text_id,A,1,97,98
great_tables/_text.py,function,,_html_escape,A,1,101,102
great_tables/_text.py,function,,_latex_escape,A,1,105,109
great_tables/_text.py,function,,escape_pattern_str_latex,A,1,112,115
great_tables/_text.py,method,BaseText,to_html,A,1,14,15
great_tables/_text.py,method,BaseText,to_latex,A,1,17,18
great_tables/_text.py,method,Text,to_html,A,1,27,28
great_tables/_text.py,method,Text,to_latex,A,1,30,31
great_tables/_text.py,method,Md,to_html,A,1,37,38
great_tables/_text.py,method,Md,to_latex,A,1,40,41
great_tables/_text.py,method,Html,to_latex,A,1,55,58
great_tables/_locale.py,function,,read_csv,A,1,11,13
great_tables/_locale.py,function,,_get_locales_data,A,1,99,102
great_tables/_locale.py,function,,_get_default_locales_data,A,1,105,107
great_tables/_locale.py,function,,_get_currencies_data,A,1,110,113
great_tables/_locale.py,function,,_get_flags_data,A,1,116,119
great_tables/_locale.py,function,,_get_durations_data,A,1,157,160
great_tables/gt.py,method,GT,__init__,A,1,343,360
great_tables/gt.py,method,GT,_repr_html_,A,1,449,464
great_tables/gt.py,method,GT,_render_formats,A,1,466,476
great_tables/gt.py,method,GT,render,A,1,508,516
great_tables/_utils_nanoplots.py,function,,_is_na,A,1,13,14
great_tables/_utils_nanoplots.py,function,,_gt_mean,A,1,258,263
great_tables/_utils_nanoplots.py,function,,_gt_min,A,1,266,270
great_tables/_utils_nanoplots.py,function,,_gt_max,A,1,273,277
great_tables/_utils_nanoplots.py,function,,_gt_first,A,1,292,296
great_tables/_utils_nanoplots.py,function,,_gt_last,A,1,299,303
great_tables/_utils_nanoplots.py,function,,_gt_quantile,A,1,306,312
great_tables/_utils_nanoplots.py,function,,_gt_q1,A,1,315,319
great_tables/_utils_nanoplots.py,function,,_gt_q3,A,1,322,326
great_tables/_source_notes.py,function,,tab_source_note,A,1,11,54
great_tables/_export.py,function,,_create_temp_file_server,A,1,36,42
great_tables/_export.py,function,,as_latex,A,1,260,350
great_tables/_export.py,function,,_dump_debug_screenshot,A,1,576,582
great_tables/_heading.py,function,,tab_header,A,1,12,87
great_tables/_modify_rows.py,function,,row_group_order,A,1,25,28
great_tables/_modify_rows.py,function,,_remove_from_group_styles,A,1,43,45
great_tables/_modify_rows.py,function,,with_locale,A,1,114,164
great_tables/_modify_rows.py,function,,with_id,A,1,167,194
great_tables/_formats.py,function,,fmt_number,A,1,166,321
great_tables/_formats.py,function,,fmt_integer,A,1,395,515
great_tables/_formats.py,function,,fmt_scientific,A,1,585,734
great_tables/_formats.py,function,,fmt_engineering,A,1,848,1054
great_tables/_formats.py,function,,fmt_roman,A,1,2023,2088
great_tables/_formats.py,function,,fmt_date,A,1,3208,3314
great_tables/_formats.py,function,,fmt_time,A,1,3357,3452
great_tables/_formats.py,function,,fmt_datetime,A,1,3495,3632
great_tables/_formats.py,function,,fmt_markdown,A,1,4003,4067
great_tables/_formats.py,function,,fmt_units,A,1,4088,4236
great_tables/_formats.py,function,,_expand_exponential_to_full_string,A,1,4500,4503
great_tables/_formats.py,function,,_get_sci_parts,A,1,4535,4546
great_tables/_formats.py,function,,_has_negative_value,A,1,4623,4624
great_tables/_formats.py,function,,_has_positive_value,A,1,4627,4628
great_tables/_formats.py,function,,_has_zero_value,A,1,4631,4632
great_tables/_formats.py,function,,_replace_minus,A,1,4694,4705
great_tables/_formats.py,function,,_remove_minus,A,1,4708,4718
great_tables/_formats.py,function,,_round_rhu,A,1,5087,5111
great_tables/_formats.py,function,,_get_date_formats_dict,A,1,5164,5185
great_tables/_formats.py,function,,_get_time_formats_dict,A,1,5188,5197
great_tables/_formats.py,function,,_get_date_format,A,1,5200,5221
great_tables/_formats.py,function,,_get_time_format,A,1,5224,5245
great_tables/_formats.py,function,,_iso_str_to_time,A,1,5282,5292
great_tables/_formats.py,function,,_iso_str_to_datetime,A,1,5295,5305
great_tables/_formats.py,function,,_iso_str_to_date,A,1,5308,5318
great_tables/_formats.py,function,,fmt_icon,A,1,5598,5787
great_tables/_formats.py,function,,fmt_flag,A,1,5867,5983
great_tables/_formats.py,function,,fmt_by_context,A,1,6595,6609
great_tables/_formats.py,method,TfMap,get_color,A,1,3982,3982
great_tables/_formats.py,method,TfMap,get_color,A,1,3985,3985
great_tables/_formats.py,method,FmtImage,to_latex,A,1,5549,5556
great_tables/_formats.py,method,FmtImage,_get_image_uri,A,1,5563,5571
great_tables/_formats.py,method,FmtIcon,to_latex,A,1,5857,5864
great_tables/_formats.py,method,FmtFlag,to_latex,A,1,6048,6055
great_tables/_locations.py,function,,resolve,A,1,1155,1157
great_tables/_locations.py,function,,_,A,1,1173,1175
great_tables/_locations.py,function,,set_style,A,1,1326,1328
great_tables/_tab_create_modify.py,function,,_replace_fn,A,1,300,301
great_tables/_utils_render_html.py,function,,_get_footnote_mark_symbols,A,1,1316,1324
great_tables/_utils_render_html.py,function,,rtl_modern_unicode_charset,A,1,1568,1606
great_tables/_utils_render_html.py,function,,_get_spanners_matrix_height,A,1,1609,1630
great_tables/_render.py,function,,infer_render_env_defaults,A,1,42,44
great_tables/_body.py,function,,body_reassemble,A,1,11,14
great_tables/_utils_render_latex.py,function,,_not_implemented,A,1,29,30
great_tables/_utils_render_latex.py,function,,is_css_length_string,A,1,33,35
great_tables/_utils_render_latex.py,function,,is_number_without_units,A,1,38,40
great_tables/_utils_render_latex.py,function,,convert_to_pt,A,1,103,106
great_tables/_utils_render_latex.py,function,,latex_heading_row,A,1,109,110
great_tables/_tbl_data.py,function,,_raise_not_implemented,A,1,115,116
great_tables/_tbl_data.py,function,,_re_version,A,1,119,128
great_tables/_tbl_data.py,function,,copy_data,A,1,143,145
great_tables/_tbl_data.py,function,,_,A,1,149,150
great_tables/_tbl_data.py,function,,_,A,1,154,155
great_tables/_tbl_data.py,function,,_,A,1,159,162
great_tables/_tbl_data.py,function,,get_column_names,A,1,167,169
great_tables/_tbl_data.py,function,,_,A,1,173,174
great_tables/_tbl_data.py,function,,_,A,1,178,179
great_tables/_tbl_data.py,function,,_,A,1,183,184
great_tables/_tbl_data.py,function,,n_rows,A,1,191,193
great_tables/_tbl_data.py,function,,_,A,1,198,199
great_tables/_tbl_data.py,function,,_,A,1,203,204
great_tables/_tbl_data.py,function,,_get_cell,A,1,211,214
great_tables/_tbl_data.py,function,,_,A,1,241,242
great_tables/_tbl_data.py,function,,_set_cell,A,1,249,250
great_tables/_tbl_data.py,function,,_,A,1,254,258
great_tables/_tbl_data.py,function,,_,A,1,262,263
great_tables/_tbl_data.py,function,,_,A,1,267,275
great_tables/_tbl_data.py,function,,_get_column_dtype,A,1,282,284
great_tables/_tbl_data.py,function,,_,A,1,288,289
great_tables/_tbl_data.py,function,,reorder,A,1,296,298
great_tables/_tbl_data.py,function,,_,A,1,302,306
great_tables/_tbl_data.py,function,,_,A,1,310,311
great_tables/_tbl_data.py,function,,_,A,1,315,316
great_tables/_tbl_data.py,function,,group_splits,A,1,321,322
great_tables/_tbl_data.py,function,,eval_select,A,1,378,381
great_tables/_tbl_data.py,function,,create_empty_frame,A,1,504,506
great_tables/_tbl_data.py,function,,_,A,1,510,513
great_tables/_tbl_data.py,function,,_,A,1,517,520
great_tables/_tbl_data.py,function,,copy_frame,A,1,531,533
great_tables/_tbl_data.py,function,,_,A,1,537,538
great_tables/_tbl_data.py,function,,_,A,1,542,543
great_tables/_tbl_data.py,function,,cast_frame_to_string,A,1,557,559
great_tables/_tbl_data.py,function,,_,A,1,563,564
great_tables/_tbl_data.py,function,,replace_null_frame,A,1,600,602
great_tables/_tbl_data.py,function,,_,A,1,606,607
great_tables/_tbl_data.py,function,,to_list,A,1,632,633
great_tables/_tbl_data.py,function,,_,A,1,637,638
great_tables/_tbl_data.py,function,,_,A,1,642,643
great_tables/_tbl_data.py,function,,_,A,1,647,648
great_tables/_tbl_data.py,function,,_,A,1,652,653
great_tables/_tbl_data.py,function,,is_series,A,1,660,661
great_tables/_tbl_data.py,function,,_,A,1,665,666
great_tables/_tbl_data.py,function,,_,A,1,670,671
great_tables/_tbl_data.py,function,,_,A,1,675,676
great_tables/_tbl_data.py,function,,_,A,1,680,681
great_tables/_tbl_data.py,function,,eval_transform,A,1,688,689
great_tables/_tbl_data.py,function,,is_na,A,1,743,744
great_tables/_tbl_data.py,function,,_,A,1,748,751
great_tables/_tbl_data.py,function,,_,A,1,765,769
great_tables/_tbl_data.py,function,,validate_frame,A,1,773,779
great_tables/_tbl_data.py,function,,_,A,1,819,820
great_tables/_tbl_data.py,function,,_,A,1,866,867
great_tables/_tbl_data.py,function,,_,A,1,871,872
great_tables/_tbl_data.py,function,,_,A,1,876,879
great_tables/_tbl_data.py,function,,_,A,1,883,886
great_tables/_tbl_data.py,function,,eval_aggregate,A,1,893,911
great_tables/_tbl_data.py,function,,get_rows,A,1,952,954
great_tables/_tbl_data.py,function,,_,A,1,958,959
great_tables/_tbl_data.py,function,,_,A,1,963,964
great_tables/_tbl_data.py,function,,_,A,1,969,970
great_tables/shiny.py,function,,output_gt,A,1,32,34
great_tables/shiny.py,function,,render_gt,A,1,49,49
great_tables/shiny.py,function,,render_gt,A,1,53,53
great_tables/shiny.py,function,,render_gt,A,1,56,61
great_tables/_helpers.py,function,,px,A,1,155,177
great_tables/_helpers.py,function,,pct,A,1,180,204
great_tables/_helpers.py,function,,md,A,1,207,223
great_tables/_helpers.py,function,,html,A,1,226,243
great_tables/_helpers.py,function,,random_id,A,1,246,259
great_tables/_helpers.py,function,,letters,A,1,262,268
great_tables/_helpers.py,function,,LETTERS,A,1,271,277
great_tables/_helpers.py,function,,google_font,A,1,294,356
great_tables/_helpers.py,function,,system_fonts,A,1,370,586
great_tables/_helpers.py,function,,_intify_scaled_px,A,1,619,620
great_tables/_helpers.py,function,,_units_to_subscript,A,1,924,926
great_tables/_helpers.py,function,,_units_to_superscript,A,1,930,932
great_tables/_helpers.py,function,,_units_html_sub_super,A,1,936,942
great_tables/_helpers.py,function,,_escape_html_tags,A,1,970,975
great_tables/_helpers.py,method,GoogleFont,__repr__,A,1,284,285
great_tables/_helpers.py,method,GoogleFont,make_import_stmt,A,1,287,288
great_tables/_helpers.py,method,GoogleFont,get_font_name,A,1,290,291
great_tables/_helpers.py,method,GoogleFontImports,add,A,1,363,364
great_tables/_helpers.py,method,GoogleFontImports,to_css,A,1,366,367
great_tables/_helpers.py,method,UnitStr,__init__,A,1,833,834
great_tables/_helpers.py,method,UnitStr,__repr__,A,1,836,837
great_tables/_helpers.py,method,UnitStr,to_latex,A,1,849,850
great_tables/_helpers.py,method,UnitStr,_repr_html_,A,1,852,853
great_tables/_helpers.py,method,UnitStr,__len__,A,1,855,856
great_tables/_helpers.py,method,UnitDefinitionList,__repr__,A,1,889,890
great_tables/_helpers.py,method,UnitDefinitionList,__len__,A,1,892,893
great_tables/_helpers.py,method,UnitDefinitionList,__getitem__,A,1,895,896
great_tables/_helpers.py,method,UnitDefinitionList,_repr_html_,A,1,920,921
great_tables/_utils.py,function,,heading_has_title,A,1,31,32
great_tables/_utils.py,function,,heading_has_subtitle,A,1,35,36
great_tables/_utils.py,function,,_str_scalar_to_list,A,1,84,86
great_tables/_utils.py,function,,_collapse_list_elements,A,1,131,142
great_tables/_utils.py,function,,_insert_into_list,A,1,145,157
great_tables/_utils.py,function,,_str_replace,A,1,160,161
great_tables/_utils.py,function,,_str_detect,A,1,164,165
great_tables/_utils.py,function,,is_valid_http_schema,A,1,286,287
great_tables/_utils.py,method,OrderedSet,__init__,A,1,90,91
great_tables/_utils.py,method,OrderedSet,as_set,A,1,96,97
great_tables/_utils.py,method,OrderedSet,as_list,A,1,99,100
great_tables/_utils.py,method,OrderedSet,as_dict,A,1,102,103
great_tables/_utils.py,method,OrderedSet,__contains__,A,1,105,106
great_tables/_utils.py,method,OrderedSet,__iter__,A,1,108,109
great_tables/_utils.py,method,OrderedSet,__len__,A,1,111,112
great_tables/_utils.py,method,OrderedSet,__repr__,A,1,114,117
great_tables/_data_color/palettes.py,function,,rgb_to_hex,A,1,17,18
great_tables/_data_color/palettes.py,method,CoeffSequence,__init__,A,1,50,51
great_tables/_data_color/palettes.py,method,CoeffSequenceBisector,lookup,A,1,71,73
great_tables/_data_color/palettes.py,method,GradientPalette,_interpolate,A,1,180,182
great_tables/_data_color/base.py,function,,_get_wcag_contrast_ratio,A,1,357,385
great_tables/_data_color/base.py,function,,_color_name_list,A,1,567,568
great_tables/_data_color/base.py,function,,_is_short_hex,A,1,571,575
great_tables/data/__init__.py,function,,_read_csv_pandas,A,1,8,12
great_tables/data/__init__.py,method,_BackendNamespace,__init__,A,1,1430,1432
great_tables/data/__init__.py,method,_BackendNamespace,__dir__,A,1,1448,1449
great_tables/_gt_data.py,method,GTData,from_data,A,2,110,146
great_tables/_gt_data.py,method,_Sequence,__eq__,A,2,179,180
great_tables/_gt_data.py,method,ColInfo,__post_init__,A,2,258,260
great_tables/_gt_data.py,method,ColInfo,defaulted_align,A,2,278,279
great_tables/_gt_data.py,method,Boxhead,_get_columns,A,2,430,431
great_tables/_gt_data.py,method,Boxhead,_get_column_labels,A,2,434,435
great_tables/_gt_data.py,method,Boxhead,_get_column_widths,A,2,456,457
great_tables/_gt_data.py,method,Stub,group_ids,A,2,620,621
great_tables/_gt_data.py,method,Stub,reorder_rows,A,2,623,626
great_tables/_gt_data.py,method,GroupRowInfo,defaulted_label,A,2,761,764
great_tables/_gt_data.py,method,Spanners,from_ids,A,2,853,856
great_tables/_gt_data.py,method,Spanners,remove_column,A,2,886,887
great_tables/_gt_data.py,method,SummaryRows,__init__,A,2,1066,1075
great_tables/_gt_data.py,method,SummaryRows,define,A,2,1093,1100
great_tables/_gt_data.py,method,Options,_get_all_options_keys,A,2,1481,1482
great_tables/_options.py,function,,opt_footnote_marks,A,2,586,632
great_tables/_options.py,method,StyleMapper,map_entry,A,2,1654,1655
great_tables/_options.py,method,StyleMapper,map_all,A,2,1657,1661
great_tables/_formats_vals.py,function,,_upgrade_to_list,A,2,56,59
great_tables/_formats_vals.py,function,,val_fmt_integer,A,2,224,323
great_tables/_formats_vals.py,function,,wrapper,A,2,39,48
great_tables/_utils_selenium.py,method,_ChromeWebDriver,add_arguments,A,2,42,45
great_tables/_utils_selenium.py,method,_FirefoxWebDriver,add_arguments,A,2,57,60
great_tables/_substitution.py,function,,sub_large_vals,A,2,287,376
great_tables/_substitution.py,method,SubMissing,__post_init__,A,2,163,166
great_tables/_substitution.py,method,SubMissing,to_html,A,2,168,172
great_tables/_substitution.py,method,SubZero,to_html,A,2,179,183
great_tables/_substitution.py,method,SubLargeVals,_format_text,A,2,542,550
great_tables/_substitution.py,method,SubValues,to_html,A,2,560,564
great_tables/_databackend.py,method,AbstractBackend,__init_subclass__,A,2,35,37
great_tables/gt.py,function,,_get_column_labels,A,2,618,621
great_tables/gt.py,function,,_get_column_of_values,A,2,624,634
great_tables/gt.py,method,GT,_build_data,A,2,478,506
great_tables/_utils_nanoplots.py,function,,_map_is_na,A,2,17,20
great_tables/_utils_nanoplots.py,function,,_val_is_numeric,A,2,23,32
great_tables/_utils_nanoplots.py,function,,_val_is_str,A,2,35,44
great_tables/_utils_nanoplots.py,function,,_any_na_in_list,A,2,62,67
great_tables/_utils_nanoplots.py,function,,_check_any_na_in_list,A,2,70,76
great_tables/_utils_nanoplots.py,function,,_gt_median,A,2,280,289
great_tables/_utils_nanoplots.py,function,,_jitter_vals,A,2,415,420
great_tables/_spanners.py,method,SpannerTransformer,split_columns,A,2,309,314
great_tables/_export.py,function,,write_raw_html,A,2,585,628
great_tables/_render_checks.py,function,,_render_check,A,2,11,13
great_tables/_formats.py,function,,fmt_percent,A,2,1189,1352
great_tables/_formats.py,function,,fmt_currency,A,2,1743,1928
great_tables/_formats.py,function,,fmt_tf,A,2,3688,3823
great_tables/_formats.py,function,,_context_minus_mark,A,2,4667,4673
great_tables/_formats.py,function,,_context_percent_mark,A,2,4676,4682
great_tables/_formats.py,function,,_context_dollar_mark,A,2,4685,4691
great_tables/_formats.py,function,,_get_currency_str,A,2,4940,4969
great_tables/_formats.py,function,,_validate_case,A,2,5150,5161
great_tables/_formats.py,function,,_validate_date_style,A,2,5248,5262
great_tables/_formats.py,function,,_validate_time_style,A,2,5265,5279
great_tables/_formats.py,function,,_validate_date_obj,A,2,5321,5335
great_tables/_formats.py,function,,_validate_time_obj,A,2,5338,5352
great_tables/_formats.py,function,,_validate_datetime_obj,A,2,5355,5369
great_tables/_formats.py,method,FmtImage,_apply_pattern,A,2,5559,5560
great_tables/_formats.py,method,FmtFlag,_replace_flag_svg,A,2,6058,6074
great_tables/_locations.py,function,,resolve_cols_c,A,2,942,959
great_tables/_locations.py,function,,_,A,2,1179,1183
great_tables/_locations.py,function,,_,A,2,1222,1226
great_tables/_tab_create_modify.py,function,,text_replace,A,2,234,303
great_tables/_tab_create_modify.py,function,,text_case_when,A,2,410,493
great_tables/_utils_render_html.py,function,,_is_loc,A,2,108,112
great_tables/_utils_render_html.py,function,,_create_footnote_mark_html,A,2,1364,1371
great_tables/_utils_render_latex.py,function,,get_units_from_length_string,A,2,58,67
great_tables/_utils_render_latex.py,function,,convert_to_px,A,2,84,100
great_tables/_utils_render_latex.py,function,,create_table_end_l,A,2,633,653
great_tables/_utils_render_latex.py,function,,create_wrap_end_l,A,2,724,727
great_tables/_tbl_data.py,function,,_,A,2,218,227
great_tables/_tbl_data.py,function,,_,A,2,231,237
great_tables/_tbl_data.py,function,,_,A,2,326,328
great_tables/_tbl_data.py,function,,_,A,2,332,344
great_tables/_tbl_data.py,function,,_,A,2,348,358
great_tables/_tbl_data.py,function,,_,A,2,524,527
great_tables/_tbl_data.py,function,,_,A,2,547,550
great_tables/_tbl_data.py,function,,_,A,2,590,593
great_tables/_tbl_data.py,function,,_,A,2,611,615
great_tables/_tbl_data.py,function,,_,A,2,619,626
great_tables/_tbl_data.py,function,,_,A,2,824,830
great_tables/_tbl_data.py,function,,_,A,2,915,921
great_tables/_tbl_data.py,function,,_,A,2,925,933
great_tables/_helpers.py,function,,_replace_units_symbol,A,2,946,950
great_tables/_helpers.py,function,,_units_symbol_replacements,A,2,953,967
great_tables/_utils.py,function,,_assert_str_scalar,A,2,62,64
great_tables/_utils.py,function,,_assert_str_in_set,A,2,74,76
great_tables/_utils.py,function,,_assert_list_is_subset,A,2,79,81
great_tables/_utils.py,function,,pairwise,A,2,168,179
great_tables/_utils.py,function,,is_equal,A,2,213,214
great_tables/_utils.py,method,OrderedSet,_create,A,2,93,94
great_tables/_data_color/palettes.py,method,CoeffSequenceBisector,__init__,A,2,67,69
great_tables/_data_color/palettes.py,method,GradientPalette,_linspace_to_one,A,2,158,161
great_tables/_data_color/palettes.py,method,GradientPalette,_create_coefficients,A,2,163,177
great_tables/_data_color/base.py,function,,_ideal_fgnd_color,A,2,302,311
great_tables/_data_color/base.py,function,,_alpha_composite_with_white,A,2,314,354
great_tables/_data_color/base.py,function,,_relative_luminance,A,2,414,435
great_tables/_data_color/base.py,function,,_srgb,A,2,438,460
great_tables/_data_color/base.py,function,,_float_to_hex,A,2,519,544
great_tables/_data_color/base.py,function,,_is_hex_col,A,2,578,581
great_tables/_data_color/base.py,function,,_is_standard_hex_col,A,2,584,587
great_tables/_gt_data.py,method,Boxhead,_set_cols_info_type,A,3,358,363
great_tables/_gt_data.py,method,Boxhead,vars_from_type,A,3,404,405
great_tables/_gt_data.py,method,Boxhead,_set_column_labels,A,3,438,444
great_tables/_gt_data.py,method,Boxhead,_set_column_aligns,A,3,447,453
great_tables/_gt_data.py,method,Boxhead,_get_default_columns,A,3,460,462
great_tables/_gt_data.py,method,Boxhead,_get_default_column_labels,A,3,473,477
great_tables/_gt_data.py,method,Boxhead,_get_default_alignments,A,3,479,482
great_tables/_gt_data.py,method,Stub,_stub_group_names_has_column,A,3,699,713
great_tables/_gt_data.py,method,SpannerInfo,built_label,A,3,833,838
great_tables/_gt_data.py,method,Spanners,relevel,A,3,858,866
great_tables/_gt_data.py,method,FormatFns,__init__,A,3,970,973
great_tables/_options.py,function,,dict_omit_keys,A,3,1486,1487
great_tables/_formats_vals.py,function,,_make_one_col_table,A,3,62,89
great_tables/_cols_merge.py,function,,perform_col_merge,A,3,273,301
great_tables/_cols_merge.py,method,ColMergeInfo,pattern_columns,A,3,57,76
great_tables/_cols_merge.py,method,ColMergeInfo,validate_pattern,A,3,78,93
great_tables/_substitution.py,function,,_convert_missing,A,3,17,29
great_tables/_databackend.py,function,,_load_class,A,3,14,21
great_tables/_styles.py,method,CellStyle,_raise_if_requires_data,A,3,131,138
great_tables/_text.py,function,,process_string,A,3,118,151
great_tables/_text.py,method,Html,to_html,A,3,47,53
great_tables/_locale.py,method,Locale,__init__,A,3,19,22
great_tables/_utils_nanoplots.py,function,,_remove_na_from_list,A,3,80,85
great_tables/_utils_nanoplots.py,function,,_get_n_intlike,A,3,1538,1539
great_tables/__init__.py,function,,__getattr__,A,3,49,63
great_tables/_tbl_data_align.py,function,,is_number_like_column,A,3,49,63
great_tables/_tbl_data_align.py,function,,classify_dtype_for_alignment,A,3,67,83
great_tables/_tbl_data_align.py,function,,_classify_pandas,A,3,87,96
