arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_locations.py,funcao,footnotes_split_style_list,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locations.py,funcao,resolve_vector_i,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locations.py,funcao,resolve_vector_l,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
great_tables/_locations.py,funcao,resolve_cols_c,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locations.py,funcao,resolve_cols_i,5,15,9,16,20,25,70.213,108.0482,2.6667,288.1285,16.0071,0.036
great_tables/_locations.py,funcao,resolve_rows_i,8,17,10,18,25,28,93.4869,130.028,4.2353,550.7067,30.5948,0.0433
great_tables/_locations.py,funcao,resolve_mask,3,4,3,5,7,8,12.7549,22.4588,1.875,42.1103,2.3395,0.0075
great_tables/_locations.py,funcao,resolve,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locations.py,funcao,_,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
great_tables/_locations.py,funcao,set_style,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_modify_rows.py,funcao,row_group_order,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_modify_rows.py,funcao,_remove_from_body_styles,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
great_tables/_modify_rows.py,funcao,_remove_from_group_styles,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_modify_rows.py,funcao,tab_stub,3,7,7,14,10,21,24.4064,69.7605,3.0,209.2815,11.6267,0.0233
great_tables/_modify_rows.py,funcao,with_locale,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_modify_rows.py,funcao,with_id,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_modify_rows.py,funcao,summary_rows,4,8,5,9,12,14,32.0,50.1895,2.25,112.9263,6.2737,0.0167
